dtime_utc,period_utc,dtime,period,business_date,publication_ts,publication_ts_utc,jg,pv,wi,demand,jga,jgm,jgo,jgm1,jgm2,jgw1,jgw2,jgz1,jgz2,jgz3,jnwrb,swm_p,swm_np
2025-02-01 00:00:00,23:45 - 24:00,2025-02-01 01:00:00,00:45 - 01:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11431.255,0.0,4105.762,16274.153,,-222.324,,0.0,,11431.255,,,,,8818.193,-4206.966,465.296
2025-02-01 00:15:00,00:00 - 00:15,2025-02-01 01:15:00,01:00 - 01:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11437.325,0.0,4094.573,16437.533,,-285.707,,0.0,,11437.325,,,,,8790.24,-4065.553,571.629
2025-02-01 00:30:00,00:15 - 00:30,2025-02-01 01:30:00,01:15 - 01:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11348.854,0.0,4063.242,16095.295,,-285.667,,0.0,,11348.854,,,,,8760.742,-4298.534,573.299
2025-02-01 00:45:00,00:30 - 00:45,2025-02-01 01:45:00,01:30 - 01:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11361.732,0.0,3972.921,16114.238,,-285.707,,0.0,,11361.732,,,,,8665.161,-4194.684,574.035
2025-02-01 01:00:00,00:45 - 01:00,2025-02-01 02:00:00,01:45 - 02:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11300.089,0.0,3892.671,15987.737,,-286.142,,0.0,,11300.089,,,,,8564.046,-4229.116,645.66
2025-02-01 01:15:00,01:00 - 01:15,2025-02-01 02:15:00,02:00 - 02:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11075.22,0.0,3885.053,15756.476,,-348.914,,0.0,,11075.22,,,,,8532.972,-4123.424,626.823
2025-02-01 01:30:00,01:15 - 01:30,2025-02-01 02:30:00,02:15 - 02:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11064.236,0.0,3805.487,15772.295,,-348.68,,0.0,,11064.236,,,,,8454.421,-4019.576,628.594
2025-02-01 01:45:00,01:30 - 01:45,2025-02-01 02:45:00,02:30 - 02:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11067.994,0.0,3843.262,15811.807,,-349.429,,0.0,,11067.994,,,,,8506.0,-4027.613,626.856
2025-02-01 02:00:00,01:45 - 02:00,2025-02-01 03:00:00,02:45 - 03:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,10955.658,0.0,3946.909,15772.171,,-348.714,,0.0,,10955.658,,,,,8583.832,-4121.666,713.061
2025-02-01 02:15:00,02:00 - 02:15,2025-02-01 03:15:00,03:00 - 03:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,10703.466,0.0,3896.556,15942.911,,-349.357,,0.0,,10703.466,,,,,8495.247,-3623.568,735.922
2025-02-01 02:30:00,02:15 - 02:30,2025-02-01 03:30:00,03:15 - 03:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,10636.98,0.0,3830.244,15778.476,,-348.581,,0.0,,10636.98,,,,,8432.637,-3671.718,735.358
2025-02-01 02:45:00,02:30 - 02:45,2025-02-01 03:45:00,03:30 - 03:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,10752.243,0.0,3595.327,15520.572,,-348.067,,0.0,,10752.243,,,,,8181.323,-3796.252,736.026
2025-02-01 03:00:00,02:45 - 03:00,2025-02-01 04:00:00,03:45 - 04:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,10764.803,0.0,3526.944,15674.56,,-348.186,,0.0,,10764.803,,,,,8109.429,-3592.783,744.096
2025-02-01 03:15:00,03:00 - 03:15,2025-02-01 04:15:00,04:00 - 04:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,10724.698,0.0,3540.202,15589.518,,-349.046,,0.0,,10724.698,,,,,8130.561,-3643.221,741.126
2025-02-01 03:30:00,03:15 - 03:30,2025-02-01 04:30:00,04:15 - 04:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,10961.235,0.0,3503.51,15890.657,,-347.913,,0.0,,10961.235,,,,,8091.207,-3543.726,730.854
2025-02-01 03:45:00,03:30 - 03:45,2025-02-01 04:45:00,04:30 - 04:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11056.555,0.0,3366.83,15825.562,,-347.745,,0.0,,11056.555,,,,,7948.983,-3569.184,731.654
2025-02-01 04:00:00,03:45 - 04:00,2025-02-01 05:00:00,04:45 - 05:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11160.926,0.0,3362.022,15949.446,,-348.222,,0.0,,11160.926,,,,,7970.095,-3550.108,731.254
2025-02-01 04:15:00,04:00 - 04:15,2025-02-01 05:15:00,05:00 - 05:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11157.554,0.0,3328.465,15854.977,,-347.592,,0.0,,11157.554,,,,,7961.073,-3627.613,710.154
2025-02-01 04:30:00,04:15 - 04:30,2025-02-01 05:30:00,05:15 - 05:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11360.314,0.0,3216.387,16053.914,,-347.905,,0.0,,11360.314,,,,,7854.857,-3522.106,710.254
2025-02-01 04:45:00,04:30 - 04:45,2025-02-01 05:45:00,05:30 - 05:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11580.858,0.0,3109.11,16097.365,,-347.703,,0.0,,11580.858,,,,,7758.248,-3605.028,711.49
2025-02-01 05:00:00,04:45 - 05:00,2025-02-01 06:00:00,05:45 - 06:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11685.624,0.0,3086.701,16323.2,,-348.057,,0.0,,11685.624,,,,,7714.698,-3455.424,737.26
2025-02-01 05:15:00,05:00 - 05:15,2025-02-01 06:15:00,06:00 - 06:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,11945.923,0.0,3015.064,16669.62,,-221.714,,0.0,,11945.923,,,,,7657.881,-3451.265,729.194
2025-02-01 05:30:00,05:15 - 05:30,2025-02-01 06:30:00,06:15 - 06:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,12061.174,0.0,2942.784,16933.385,,-15.026,,0.0,,12061.174,,,,,7585.702,-3441.19,728.926
2025-02-01 05:45:00,05:30 - 05:45,2025-02-01 06:45:00,06:30 - 06:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,12524.913,0.0,2822.379,17125.35,,-15.484,,0.0,,12524.913,,,,,7400.837,-3531.0,733.184
2025-02-01 06:00:00,05:45 - 06:00,2025-02-01 07:00:00,06:45 - 07:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,12848.546,0.0,2595.225,17357.158,,-15.522,,20.73,,12827.816,,,,,7167.818,-3395.169,758.286
2025-02-01 06:15:00,06:00 - 06:15,2025-02-01 07:15:00,07:00 - 07:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13074.556,11.387,2514.963,17506.451,,-15.484,,30.82,,13043.736,,,,,7147.005,-3465.505,767.98
2025-02-01 06:30:00,06:15 - 06:30,2025-02-01 07:30:00,07:15 - 07:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13408.645,28.218,2410.962,17792.506,,-15.484,,30.86,,13377.785,,,,,7051.045,-3413.716,767.916
2025-02-01 06:45:00,06:30 - 06:45,2025-02-01 07:45:00,07:30 - 07:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13670.212,107.229,2349.969,18005.057,,-15.332,,30.84,,13639.372,,,,,7103.938,-3524.738,763.376
2025-02-01 07:00:00,06:45 - 07:00,2025-02-01 08:00:00,07:45 - 08:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13786.375,195.108,2377.13,18323.979,,-15.484,,41.01,,13745.365,,,,,7203.096,-3435.482,800.973
2025-02-01 07:15:00,07:00 - 07:15,2025-02-01 08:15:00,08:00 - 08:15,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13732.307,321.749,2360.192,18663.73,,-19.272,,20.72,,13711.587,,,,,7299.67,-3164.977,800.203
2025-02-01 07:30:00,07:15 - 07:30,2025-02-01 08:30:00,08:15 - 08:30,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13823.525,499.978,2268.63,19026.467,,-18.7,,30.77,,13792.755,,,,,7388.253,-2970.811,799.599
2025-02-01 07:45:00,07:30 - 07:45,2025-02-01 08:45:00,08:30 - 08:45,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13813.053,662.319,2142.8,19258.87,,-148.542,,30.84,,13782.213,,,,,7415.154,-2618.791,797.995
2025-02-01 08:00:00,07:45 - 08:00,2025-02-01 09:00:00,08:45 - 09:00,2025-02-01,2026-01-18 02:27:15.804,2026-01-18 01:27:15.804,13998.474,849.878,2110.549,19613.746,,-148.247,,30.83,,13967.644,,,,,7581.409,-2673.186,820.396
