node,resource_name,resource_code,direction,pol_min_power_of_unit,pol_min_power_of_unit_plant,pol_max_power_of_unit_plant,pol_max_power_of_unit,from_dtime,from_dtime_utc,to_dtime,to_dtime_utc,time_conditions,limiting_element,add_cond,business_date,publication_ts,publication_ts_utc
,,"Solina H1, Solina H2, Solina H3, Solina H4",,,,144.0,,,,,,,,,2025-01-01,2025-01-01 22:15:45.614,2025-01-01 21:15:45.614
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,434.0,,,,,,,,,2025-01-01,2025-01-01 22:15:45.614,2025-01-01 21:15:45.614
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8",,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8, Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,2.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Kozienice 2 B09, Kozienice 2 B10",,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Turów B02, Turów B03, Turów B04, Turów B05, Turów B06",,,2.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Ostrołęka B B01, Ostrołęka B B02",,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Bełchatów B02, Bełchatów B03, Bełchatów B04, Bełchatów B05",,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Bełchatów B06, Bełchatów B07, Bełchatów B08, Bełchatów B09, Bełchatów B10, Bełchatów B11, Bełchatów B12, Bełchatów B14",,,2.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Rybnik B5, Rybnik B6",,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Opole B5, Opole B6",,,1.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8",,,2.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8, Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,3.0,,,,,,,,,,2025-01-02,2025-01-02 22:15:05.453,2025-01-02 21:15:05.453
