dtime_utc,dtime,business_date,publication_ts,publication_ts_utc,day_ahead_tr_vol
2025-01-01 00:00:00,2025-01-01 01:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,23082.612
2025-01-01 00:15:00,2025-01-01 01:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22993.576
2025-01-01 00:30:00,2025-01-01 01:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22994.464
2025-01-01 00:45:00,2025-01-01 01:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22994.852
2025-01-01 01:00:00,2025-01-01 02:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22995.752
2025-01-01 01:15:00,2025-01-01 02:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21683.116
2025-01-01 01:30:00,2025-01-01 02:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21683.948
2025-01-01 01:45:00,2025-01-01 02:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21684.684
2025-01-01 02:00:00,2025-01-01 03:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21684.86
2025-01-01 02:15:00,2025-01-01 03:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21599.216
2025-01-01 02:30:00,2025-01-01 03:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21599.372
2025-01-01 02:45:00,2025-01-01 03:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21599.632
2025-01-01 03:00:00,2025-01-01 04:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21599.824
2025-01-01 03:15:00,2025-01-01 04:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21354.076
2025-01-01 03:30:00,2025-01-01 04:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21354.104
2025-01-01 03:45:00,2025-01-01 04:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21354.068
2025-01-01 04:00:00,2025-01-01 05:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21354.068
2025-01-01 04:15:00,2025-01-01 05:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21757.02
2025-01-01 04:30:00,2025-01-01 05:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21757.092
2025-01-01 04:45:00,2025-01-01 05:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21757.172
2025-01-01 05:00:00,2025-01-01 06:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21757.24
2025-01-01 05:15:00,2025-01-01 06:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20858.324
2025-01-01 05:30:00,2025-01-01 06:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20858.312
2025-01-01 05:45:00,2025-01-01 06:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20858.336
2025-01-01 06:00:00,2025-01-01 07:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20858.336
2025-01-01 06:15:00,2025-01-01 07:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21135.856
2025-01-01 06:30:00,2025-01-01 07:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21135.888
2025-01-01 06:45:00,2025-01-01 07:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21135.904
2025-01-01 07:00:00,2025-01-01 08:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21135.872
2025-01-01 07:15:00,2025-01-01 08:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20855.94
2025-01-01 07:30:00,2025-01-01 08:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20855.956
2025-01-01 07:45:00,2025-01-01 08:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20856.1
2025-01-01 08:00:00,2025-01-01 09:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20856.108
2025-01-01 08:15:00,2025-01-01 09:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20605.712
2025-01-01 08:30:00,2025-01-01 09:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20605.816
2025-01-01 08:45:00,2025-01-01 09:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20605.816
2025-01-01 09:00:00,2025-01-01 10:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,20605.916
2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21165.8
2025-01-01 09:30:00,2025-01-01 10:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21165.8
2025-01-01 09:45:00,2025-01-01 10:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21165.916
2025-01-01 10:00:00,2025-01-01 11:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21166.016
2025-01-01 10:15:00,2025-01-01 11:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21340.516
2025-01-01 10:30:00,2025-01-01 11:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21340.516
2025-01-01 10:45:00,2025-01-01 11:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21340.516
2025-01-01 11:00:00,2025-01-01 12:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21340.616
2025-01-01 11:15:00,2025-01-01 12:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21207.372
2025-01-01 11:30:00,2025-01-01 12:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21207.272
2025-01-01 11:45:00,2025-01-01 12:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21207.256
2025-01-01 12:00:00,2025-01-01 13:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,21207.252
2025-01-01 12:15:00,2025-01-01 13:15:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22601.604
2025-01-01 12:30:00,2025-01-01 13:30:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22601.468
2025-01-01 12:45:00,2025-01-01 13:45:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22601.468
2025-01-01 13:00:00,2025-01-01 14:00:00,2025-01-01,2024-12-31 14:34:16.023,2024-12-31 13:34:16.023,22601.4
