dtime_utc,period_utc,business_date,dtime,period,power_plant,resource_code,operating_mode,operating_mode_eng,wartosc,publication_ts,publication_ts_utc
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 2-02,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 2-03,Generacja,Generation,241.87,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 2-04,Generacja,Generation,207.5447,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 2-05,Generacja,Generation,227.12,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-06,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-07,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-08,Generacja,Generation,243.6828,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-09,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-10,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-11,Generacja,Generation,219.7848,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-12,Generacja,Generation,244.7368,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Bełchatów,BEL 4-14,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Chorzów,CHZ21-01,Generacja,Generation,60.03,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Chorzów,CHZ21-02,Generacja,Generation,60.03,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,EC Czechnica-2,CZN_1S01,Generacja,Generation,61.4,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Dolna Odra,DOD 2-05,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Dolna Odra,DOD 4-07,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Dolna Odra,DOD 4-08,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Dolna Odra,DOD_2-06,Generacja,Generation,124.9,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
2025-01-01 00:00:00,23:45 - 24:00,2025-01-01,2025-01-01 01:00:00,00:45 - 01:00,Gryfino,EGF_4S09,Generacja,Generation,0.0,2026-01-18 01:57:10.540,2026-01-18 00:57:10.540
