name,co2_emissions,color,order,aggregation
BEV,0.0,#153d80,521,BEV
BEV V2G,0.0,#153d80,251,BEV
BEV battery,0.0,#153d80,522,BEV
BEV charger,0.0,#153d80,523,BEV
DSR reduction,0.0,#1b1c1e,291,DSR
ICE vehicle,0.0,#263b46,501,ICE vehicle
ICE vehicle fuel supply,0.25,#263b46,500,ICE vehicle fuel supply
battery large charger,0.0,#458aff,242,battery large
battery large power,0.0,#458aff,241,battery large
battery large storage,0.0,#458aff,240,battery large
biogas CHP,0.0,#816d66,183,biogas CHP
biogas production,0.0,#816d66,181,biogas production
biogas substrate supply,0.0,#816d66,180,biogas substrate supply
biogas upgrading,-0.12,#816d66,182,biomethane production
biomass agriculture CHP,0.0,#ab9d99,171,biomass CHP
biomass agriculture CHP CC,-0.36,#ab9d99,172,biomass CHP
biomass agriculture heat,0.0,#ab9d99,173,biomass heat
biomass agriculture supply,0.0,#ab9d99,170,biomass supply
biomass wood CHP,0.0,#ab9d99,162,biomass CHP
biomass wood boiler,0.0,#ab9d99,431,biomass wood boiler
biomass wood final use,0.0,#b6b6b7,12,biomass wood final use
biomass wood heat,0.0,#ab9d99,163,biomass heat
biomass wood power,0.0,#ab9d99,161,biomass power
biomass wood supply,0.0,#ab9d99,160,biomass supply
building retrofits,0.0,#1b1c1e,491,building retrofits
centralised other heating,0.0,#b6b6b7,393,centralised heating
centralised space heating,0.0,#b6b6b7,391,centralised heating
centralised water heating,0.0,#b6b6b7,392,centralised heating
connection HMV-vRES,0.0,#ffd54f,1212,distribution grid
connection vRES-HMV,0.0,#ffd54f,1213,distribution grid
decentralised space heating,0.0,#b6b6b7,481,decentralised heating
decentralised water heating,0.0,#b6b6b7,482,decentralised heating
direct line vRES,0.0,#ffd54f,1214,distribution grid
distribution HMV,0.0,#ffd54f,1211,distribution grid
distribution LV,0.0,#ffab00,1217,distribution grid
district heating,0.0,#b6b6b7,1301,district heating
electricity HMV final use,0.0,#b6b6b7,2,electricity final use
electricity LV final use,0.0,#b6b6b7,3,electricity final use
electricity export,0.0,#767778,283,electricity import or export
