timestamp,load_actual,pv_total_mw,wi_total_mwh,solar_roof,solar_ground
2024-12-31 23:15,14212.664,0,6576.632,0,0
2024-12-31 23:30,14397.893,0,6548.743,0,0
2024-12-31 23:45,14029.653,0,6258.698,0,0
2025-01-01 00:00,14003.282,0,6398.338,0,0
2025-01-01 00:15,14352.364,0,5676.597,0,0
2025-01-01 00:30,14415.559,0,5862.799,0,0
2025-01-01 00:45,14268.202,0,5871.542,0,0
2025-01-01 01:00,14131.061,0,5878.694,0,0
2025-01-01 01:15,13936.013,0,5750.197,0,0
2025-01-01 01:30,13898.563,0,5737.137,0,0
2025-01-01 01:45,13697.031,0,5581.289,0,0
2025-01-01 02:00,13732.605,0,5787.467,0,0
2025-01-01 02:15,13546.241,0,5312.194,0,0
2025-01-01 02:30,13423.908,0,5313.863,0,0
2025-01-01 02:45,13323.497,0,5388.901,0,0
2025-01-01 03:00,13230.741,0,5280.721,0,0
2025-01-01 03:15,13221.644,0,4508.786,0,0
2025-01-01 03:30,13199.21,0,4349.296,0,0
2025-01-01 03:45,13180.567,0,4460.038,0,0
2025-01-01 04:00,13196.85,0,4448.829,0,0
2025-01-01 04:15,13208.813,0,4549.108,0,0
2025-01-01 04:30,13286.513,0,4590.299,0,0
2025-01-01 04:45,13333.425,0,4593.733,0,0
2025-01-01 05:00,13248.091,0,4573.416,0,0
2025-01-01 05:15,13441.777,0,3720.168,0,0
2025-01-01 05:30,13513.927,0,3677.288,0,0
2025-01-01 05:45,13340.955,0,3213.024,0,0
2025-01-01 06:00,13368.212,0,3163.936,0,0
2025-01-01 06:15,13474.891,0.203,3479.611,0.1015,0.1015
2025-01-01 06:30,13447.399,2.25,3504.317,1.125,1.125
2025-01-01 06:45,13253.349,21.334,3498.424,10.667,10.667
2025-01-01 07:00,13223.573,57.271,3698.18,28.6355,28.6355
2025-01-01 07:15,13226.578,147.259,3847.784,73.6295,73.6295
2025-01-01 07:30,13107.415,305.51,3885.296,152.755,152.755
2025-01-01 07:45,12926.64,516.244,3616.87,258.122,258.122
2025-01-01 08:00,12974.867,749.71,2964.97,374.855,374.855
2025-01-01 08:15,12952.426,923.443,1713.777,461.7215,461.7215
2025-01-01 08:30,13031.744,1121.293,1712.144,560.6465,560.6465
2025-01-01 08:45,12944.205,1224.754,1719.563,612.377,612.377
2025-01-01 09:00,13208.286,1382.296,1738.826,691.148,691.148
2025-01-01 09:15,13144.184,1490.432,1730.786,745.216,745.216
2025-01-01 09:30,13091.512,1599.684,1722.697,799.842,799.842
2025-01-01 09:45,13331.961,1674.535,1762.839,837.2675,837.2675
2025-01-01 10:00,13310.891,1697.569,1750.146,848.7845,848.7845
2025-01-01 10:15,13412.24,1777.136,2196.535,888.568,888.568
2025-01-01 10:30,13473.094,1858.476,2179.397,929.238,929.238
2025-01-01 10:45,13660.945,1854.322,2197.157,927.161,927.161
2025-01-01 11:00,13737.618,1816.475,2195.594,908.2375,908.2375
2025-01-01 11:15,13868.194,1738.078,2515.055,869.039,869.039
2025-01-01 11:30,13856.469,1676.401,2516.536,838.2005,838.2005
2025-01-01 11:45,14011.631,1561.393,2511.16,780.6965,780.6965
2025-01-01 12:00,14379.934,1487.07,2868.224,743.535,743.535
2025-01-01 12:15,14741.62,1290.992,3802.564,645.496,645.496
2025-01-01 12:30,14855.141,1206.62,4012.567,603.31,603.31
2025-01-01 12:45,15228.615,1061.276,4088.542,530.638,530.638
2025-01-01 13:00,15370.581,919.22,4360.036,459.61,459.61
2025-01-01 13:15,15260.733,807.444,6317.108,403.722,403.722
2025-01-01 13:30,15375.764,660.878,6355.619,330.439,330.439
2025-01-01 13:45,15401.589,484.519,6304.804,242.2595,242.2595
2025-01-01 14:00,15456.819,307.06,6338.773,153.53,153.53
2025-01-01 14:15,16070.186,209.476,6744.818,104.738,104.738
2025-01-01 14:30,16136.032,121.496,6781.443,60.748,60.748
2025-01-01 14:45,16353.6,83.863,6745.759,41.9315,41.9315
2025-01-01 15:00,16735.707,51.206,6837.234,25.603,25.603
2025-01-01 15:15,17211.514,0,7804.846,0,0
2025-01-01 15:30,17493.045,0,8055.274,0,0
2025-01-01 15:45,17367.863,0,8087.653,0,0
2025-01-01 16:00,17681.6,0,8108.675,0,0
2025-01-01 16:15,17697.54,0,8132.877,0,0
2025-01-01 16:30,17475.623,0,8115.003,0,0
2025-01-01 16:45,17654.957,0,8129.807,0,0
2025-01-01 17:00,17545.912,0,8117.713,0,0
2025-01-01 17:15,17522.422,0,8103.355,0,0
2025-01-01 17:30,17517.637,0,8102.047,0,0
2025-01-01 17:45,17472.23,0,8106.607,0,0
2025-01-01 18:00,17609.008,0,8063.35,0,0
2025-01-01 18:15,17587.8,0,8073.999,0,0
2025-01-01 18:30,17583.566,0,8052.909,0,0
